Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.030736,0.00016011,-0.033144,0,0,0,9.158,0.073416,0.00014675,-0.0079314,0.12672,1.9414E-05,0.11933,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/base_link.STL,,D1 机身-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_face_link,-0.020311,-8.1732E-06,0.0054552,0,0,0,0.7859,0.0055946,9.1956E-08,-4.5451E-05,0.0022024,1.1031E-07,0.0037246,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/front_face_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/front_face_link.STL,,Y1.0 前装饰盖-1,front_face,a_front_face,front_face_joint,revolute,0.1875,0,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
pinjie_link,0.011671,0.011424,0.0056169,0,0,0,1.1043,0.0079676,0.00034788,1.3911E-05,0.0026336,-1.6961E-05,0.0059954,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/pinjie_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/pinjie_link.STL,,Y1.0 对接机构-1,pinjie,a_pinjie,pinjie_joint,revolute,-0.187,0,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
l_hip_link,-0.093061,-0.015678,-5.1798E-05,0,0,0,1.867,0.0026097,-4.877E-05,-1.4566E-06,0.004561,-6.6091E-07,0.0034067,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_hip_link.STL,,Y1.0 髋关节（盘线）-1,l_hip,a_l_hip,l_hip_joint,revolute,0.0945,0.0775,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
l_thigh_link,-0.0037341,0.064765,-0.031361,0,0,0,2.8116,0.020376,0.00032059,-0.001491,0.020953,0.0023442,0.0048698,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_thigh_link.STL,,Y1.0 左大腿-1,l_thigh,a_l_thigh,l_thigh_joint,revolute,-0.0945,0.0005,0,0,0,0,l_hip_link,0,1,0,0,0,0,0,,,,,,,,
l_calf_link,0.08778,0.0049096,-0.092253,0,0,0,0.61004,0.0027252,-0.00022078,0.0031577,0.0069291,0.00018044,0.0044562,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_calf_link.STL,,Y1.0 左小腿-1,l_calf,a_l_calf,l_calf_joint,revolute,0,0.091,-0.25,0,0,0,l_thigh_link,0,1,0,0,0,0,0,,,,,,,,
l_wheel_link,-1.1929E-05,0.02475,1.4454E-05,0,0,0,1.7547,0.0041497,3.5434E-07,1.672E-06,0.0078035,-7.1022E-08,0.0041483,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/l_wheel_link.STL,,M15轮毂电机 方轮胎-1,l_wheel,a_l_wheel,l_wheel_joint,revolute,0.18376,0.0305,-0.16951,0,0,0,l_calf_link,0,1,0,0,0,0,0,,,,,,,,
r_hip_link,-0.093061,0.015678,-5.1798E-05,0,0,0,1.867,0.0026097,4.877E-05,-1.4566E-06,0.004561,6.6091E-07,0.0034067,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_hip_link.STL,,MirrorY1.0 髋关节（盘线）-2,r_hip,a_r_hip,r_hip_joint,revolute,0.0945,-0.0775,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
r_thigh_link,-0.0037341,-0.064765,-0.031361,0,0,0,2.8116,0.020376,-0.00032059,-0.001491,0.020953,-0.0023442,0.0048698,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_thigh_link.STL,,MirrorY1.0 左大腿-2,r_thigh,a_r_thigh,r_thigh_joint,revolute,-0.0945,-0.0005,0,0,0,0,r_hip_link,0,-1,0,0,0,0,0,,,,,,,,
r_calf_link,0.08778,-0.0049096,-0.092253,0,0,0,0.61004,0.0027252,0.00022078,0.0031577,0.0069291,-0.00018044,0.0044562,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_calf_link.STL,,MirrorY1.0 左小腿-2,r_calf,a_r_calf,r_calf_joint,revolute,0,-0.091,-0.25,0,0,0,r_thigh_link,0,-1,0,0,0,0,0,,,,,,,,
r_wheel_link,-1.1929E-05,-0.02475,1.4454E-05,0,0,0,1.7547,0.0041497,-3.5434E-07,1.672E-06,0.0078035,7.1022E-08,0.0041483,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://Y1_massjustified_urdf_260612/meshes/r_wheel_link.STL,,MirrorM15轮毂电机 方轮胎-2,r_wheel,a_r_wheel,r_wheel_joint,revolute,0.18376,-0.0305,-0.16951,0,0,0,r_calf_link,0,-1,0,0,0,0,0,,,,,,,,
